brand,vineyard,year,value,average_rating,price
Marchesi di Barolo,Peiragal Barbera d'Alba,2020,Good Value,4.2,29.95
Familia Torres,Fransola,2022,Great Value,4.2,24.95
Bellingham,The Bernard Series Bush Vine Pinotage,2021,Great Value,4.2,24.95
Vilafonté,Seriously Old Dirt,2021,Good Value,4.2,24.84
Château Canon Chaigneau,Lalande-de-Pomerol,2018,Great Value,4.2,28.95
Vergelegen,Reserve Shiraz,2020,Amazing Value!,4.2,20.55
Perez Cruz,Syrah Limited Edition,2021,Great Value,4.2,19.79
Château Doisy-Vedrines,Sauternes (Grand Cru Classé),2013,No Score,4.2,24.95
Alonso & Pedrajo,Suañé Rosado Reserva,2020,Good Value,4.2,29.95
Herència Altés,La Serra Blanc,2019,Great Value,4.2,26.95
Cristian Boffa,Barolo La Morra,2018,Great Value,4.2,30.0
Domaine Frantz Chagnoleau,La Roche Saint-Véran,2020,Great Value,4.2,29.94
Pelleriti Priore,Signature Malbec,2020,Great Value,4.2,19.99
Basket Range,Banksia Pinot Noir,2023,Great Value,4.2,26.99
Chêne Bleu,Astralabe,2018,Great Value,4.2,25.99
Fonseca,Quinta do Panascal Vintage Port,2008,Great Value,4.2,29.99
Domaine des Escaravailles,Argilla ad Argillam Rasteau,2021,Good Value,4.2,29.99
Domaine du Landreau,Côteaux du Layon,2016,Good Value,4.2,25.99
Domaine Comelade,L'Oursoulette Maury Grenat,2021,Great Value,4.2,21.99
